"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"A","4962","1999-11-18","2019-08-09","42","2009-05-14","2019-08-14"
"AA","697","2016-11-01","2019-08-09","11","2017-01-24","2019-07-17"
"AAAP","574","2015-11-11","2018-07-18","0","NULL","NULL"
"AABA","5434","1998-01-02","2019-08-07","14","2014-01-28","2017-04-18"
"AAC","1222","2014-10-02","2019-08-09","21","2014-11-05","2019-04-16"
"AAL","3489","2005-09-27","2019-08-07","23","2014-01-28","2019-07-25"
"AAMC","1675","2012-12-13","2019-08-09","23","2013-05-09","2018-11-07"
"AAME","5434","1998-01-02","2019-08-07","39","2009-05-14","2018-11-13"
"AAN","5436","1998-01-02","2019-08-09","41","2009-08-05","2019-07-25"
"AAOI","1476","2013-09-26","2019-08-07","24","2013-11-07","2019-08-07"
"AAON","5434","1998-01-02","2019-08-07","41","2009-05-06","2019-05-02"
"AAP","4454","2001-11-29","2019-08-09","42","2009-05-20","2019-08-13"
"AAPL","5434","1998-01-02","2019-08-07","41","2009-07-21","2019-07-30"
"AAT","2157","2011-01-13","2019-08-09","34","2011-05-10","2019-07-30"
"AAU","3432","2005-12-20","2019-08-09","30","2011-08-11","2018-11-07"
"AAV","3601","2004-03-31","2018-07-19","0","NULL","NULL"
"AAWW","3458","2005-11-09","2019-08-07","42","2009-05-05","2019-08-01"
"AAXJ","2763","2008-08-15","2019-08-07","0","NULL","NULL"
"AAXN","4571","2001-06-07","2019-08-08","23","2014-02-26","2019-08-08"
"AB","5436","1998-01-02","2019-08-09","41","2009-07-30","2019-07-25"
"ABAC","2205","2010-07-20","2019-04-23","0","NULL","NULL"
"ABAX","5180","1998-01-02","2018-08-03","0","NULL","NULL"
"ABB","4614","2001-04-06","2019-08-09","35","2009-10-30","2019-07-25"
"ABBV","1663","2013-01-02","2019-08-09","26","2013-04-26","2019-07-26"
"ABC","5436","1998-01-02","2019-08-09","41","2009-07-30","2019-08-01"
"ABCB","5434","1998-01-02","2019-08-07","41","2009-07-21","2019-07-26"
"ABCD","2272","2009-12-09","2018-12-18","0","NULL","NULL"
"ABDC","1321","2014-05-09","2019-08-07","20","2014-11-10","2019-08-07"
"ABE","4358","2001-01-02","2018-06-06","0","NULL","NULL"
"ABEO","5434","1998-01-02","2019-08-07","19","2015-05-14","2019-08-09"
"ABEOW","872","2015-06-22","2019-08-06","0","NULL","NULL"
"ABEV","5436","1998-01-02","2019-08-09","23","2014-02-26","2019-07-25"
"ABG","4378","2002-03-21","2019-08-09","41","2009-07-30","2019-07-26"
"ABIL","910","2015-12-24","2019-08-07","10","2016-05-02","2018-12-26"
"ABIO","5434","1998-01-02","2019-08-07","32","2009-11-16","2019-08-01"
"ABLX","170","2017-10-20","2018-07-18","0","NULL","NULL"
"ABM","5436","1998-01-02","2019-08-09","41","2009-06-04","2019-06-05"
"ABMD","5434","1998-01-02","2019-08-07","42","2009-05-12","2019-08-01"
"ABR","3862","2004-04-07","2019-08-09","42","2009-05-08","2019-08-02"
"ABRN","995","2014-05-15","2018-04-26","0","NULL","NULL"
"ABT","5436","1998-01-02","2019-08-09","41","2009-07-15","2019-07-17"
"ABTX","964","2015-10-08","2019-08-07","16","2015-10-30","2019-07-26"
"ABUS","1011","2015-08-03","2019-08-07","23","2014-03-06","2019-08-05"
"ABX","5372","1998-01-02","2019-05-09","0","NULL","NULL"
"AC","929","2015-12-01","2019-08-09","13","2015-12-15","2018-11-06"
"ACA","196","2018-10-30","2019-08-12","3","2019-02-27","2019-08-01"
"ACAD","3825","2004-05-27","2019-08-07","42","2009-05-11","2019-07-31"
"ACAMU","78","2019-02-22","2019-08-06","0","NULL","NULL"
"ACAMW","16","2019-04-15","2019-08-12","0","NULL","NULL"
"ACB","1281","2014-07-11","2019-08-12","1","2019-05-14","2019-05-14"
"ACBI","947","2015-11-02","2019-08-07","16","2015-11-13","2019-07-25"
"ACC","3775","2004-08-12","2019-08-09","41","2009-07-28","2019-07-22"
"ACCO","3519","2005-08-17","2019-08-09","31","2012-05-10","2019-07-31"
"ACER","471","2017-09-22","2019-08-07","21","2014-05-14","2019-08-13"
"ACERW","750","2015-04-14","2018-04-05","0","NULL","NULL"
"ACET","5425","1998-01-02","2019-07-25","39","2009-05-08","2018-11-08"
"ACFC","3440","2004-10-05","2018-11-14","0","NULL","NULL"
"ACGL","5434","1998-01-02","2019-08-07","41","2009-07-23","2019-07-29"
"ACGLO","498","2017-08-15","2019-08-07","0","NULL","NULL"
"ACGLP","722","2016-09-23","2019-08-07","0","NULL","NULL"
"ACH","4446","2001-12-11","2019-08-09","24","2009-08-25","2018-10-25"
"ACHC","5434","1998-01-02","2019-08-07","31","2012-03-07","2019-07-30"
